datetime,G1_ZoneTemp_mean,G1_ZoneTemp_std,G1_ZoneTemp_range,G2_HeadTemp_mean,G2_HeadTemp_std,G2_HeadTemp_range,G3_MeltTemp_mean,G3_MeltTemp_std,G3_MeltTemp_range,G4_PressureTorque_mean,G4_PressureTorque_std,G4_PressureTorque_range,G5_CoolFlow_mean,G5_CoolFlow_std,G5_CoolFlow_range,passorfail
2020-10-30 00:00:04,224.0,11.180339887498949,30,206.66666666666666,74.53783528443047,201,259.25,27.11434122378783,75,47.7405,33.759127365795464,72.0,41.0,0.0,0,0.0
2020-10-30 00:00:09,224.25,10.848386976873567,29,206.5,74.46195896787388,200,259.5,27.189152248645048,75,47.736533333333334,33.75636872308526,72.0,41.0,0.0,0,0.0
2020-10-30 00:00:14,224.25,10.848386976873567,29,206.5,74.46195896787388,200,259.25,27.11434122378783,75,47.73256666666666,33.753610787226236,72.0,41.0,0.0,0,0.0
2020-10-30 00:00:19,224.5,11.191514642799696,30,206.66666666666666,74.53783528443047,201,259.25,27.11434122378783,75,47.73256666666666,33.753610787226236,72.0,41.0,0.0,0,0.0
2020-10-30 00:00:24,224.25,10.848386976873567,29,206.66666666666666,74.53783528443047,201,259.25,27.11434122378783,75,47.73256666666666,33.753610787226236,72.0,41.0,0.0,0,0.0
2020-10-30 00:00:29,224.25,10.848386976873567,29,206.66666666666666,74.53783528443047,201,259.25,27.11434122378783,75,47.736533333333334,33.75636872308526,72.0,41.0,0.0,0,0.0
2020-10-30 00:00:34,224.5,10.965856099730654,29,206.5,74.46195896787388,200,259.25,27.11434122378783,75,47.720666666666666,33.7453412224891,72.0,41.0,0.0,0,0.0
2020-10-30 00:00:39,224.5,10.523782589924593,28,206.66666666666666,74.53783528443047,201,259.25,27.11434122378783,75,47.72463333333334,33.748097036754864,72.0,41.0,0.0,0,0.0
2020-10-30 00:00:44,224.5,10.523782589924593,28,206.66666666666666,74.53783528443047,201,259.25,27.11434122378783,75,47.736533333333334,33.75636872308526,72.0,41.0,0.0,0,0.0
2020-10-30 00:00:49,224.75,10.638961415476606,28,206.83333333333334,74.6110283775499,201,259.25,27.11434122378783,75,47.72463333333334,33.748097036754864,72.0,41.0,0.0,0,0.0
2020-10-30 00:00:54,224.75,10.638961415476606,28,206.83333333333334,74.6110283775499,201,259.25,27.11434122378783,75,47.7405,33.759127365795464,72.0,41.0,0.0,0,0.0
